Position Name,Company,Skill require,More infor,Position and require,Time update,Location
Python Automation Engineer,Magic Finserv,"python,machine learning,artificial intelligence",https://www.timesjobs.com/job-detail/python-automation-engineer-magic-finserv-noida-greater-noida-2-to-5-yrs-jobid-vf7wDViomkZzpSvf__PLUS__uAgZw==&source=srp,"Noida/Greater Noida,2 - 5 Years,Not disclosed",few days ago,Noida/Greater Noida
Java /  Python Developer,Analytics Vidhya,"python,java,git,big data,machine learning",https://www.timesjobs.com/job-detail/java-python-developer-analytics-vidhya-bengaluru-bangalore-1-to-3-yrs-jobid-RL40fuItq4VzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,1 - 3 Years,Not disclosed",few days ago,Bengaluru / Bangalore
Hiring For Pyspark  Python  SQL,krazy mantra hr solutions,"pyspark,python,sql,data analysis,big data",https://www.timesjobs.com/job-detail/hiring-for-pyspark-python-sql-krazy-mantra-hr-solutions-chennai-pune-kolkata-1-to-5-yrs-jobid-Qk__SLASH__5k9qZX79zpSvf__PLUS__uAgZw==&source=srp,"Chennai  Pune  Kolkata,1 - 5 Years,Not disclosed",few days ago,Chennai Pune Kolkata
Python DevOps Engineer II,forcepoint,"python development,shell scripting,ci  /  cd processes,cloud technologies,infrastructure as code,git,devops",https://www.timesjobs.com/job-detail/python-devops-engineer-ii-forcepoint-mumbai-3-to-5-yrs-jobid-aYlAjYJbZ7ZzpSvf__PLUS__uAgZw==&source=srp,"Mumbai,3 - 5 Years,Not disclosed",Posted 2 days ago,Mumbai
Hiring For Python Lead,krazy mantra hr solutions,"python,python web framework,orm,javascript,html5,css3,sql",https://www.timesjobs.com/job-detail/hiring-for-python-lead-krazy-mantra-hr-solutions-gurgaon-3-to-8-yrs-jobid-Pf3sPCKe2d5zpSvf__PLUS__uAgZw==&source=srp,"Gurgaon,3 - 8 Years,Not disclosed",few days ago,Gurgaon
Hiring For Python Backend Engineer,krazy mantra hr solutions,"python,restful with python fastapi,sql  /  nosql databases designing,ml algorithms,nlp,information technology,git,devops",https://www.timesjobs.com/job-detail/hiring-for-python-backend-engineer-krazy-mantra-hr-solutions-bengaluru-bangalore-5-to-8-yrs-jobid-vzs0ntKqXcpzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,5 - 8 Years,Not disclosed",few days ago,Bengaluru / Bangalore
Python Developer  Django,trident analytical solutions,"python,django,team player",https://www.timesjobs.com/job-detail/python-developer-django-trident-analytical-solutions-noida-greater-noida-1-to-2-yrs-jobid-fFPEjqISothzpSvf__PLUS__uAgZw==&source=srp,"Noida/Greater Noida,1 - 2 Years,Not disclosed",few days ago,Noida/Greater Noida
SDET- Python Automation,Nutanix,"python programming,data science,machine learning,ai model training,collaboration skills,testing,sdet,metrics",https://www.timesjobs.com/job-detail/sdet-python-automation-nutanix-bengaluru-bangalore-6-to-9-yrs-jobid-t5ddsc5lPt5zpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,6 - 9 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
SDET- Python Automation,Nutanix,"python programming,data science,machine learning,ai model training,collaboration skills,testing,sdet,metrics",https://www.timesjobs.com/job-detail/sdet-python-automation-nutanix-bengaluru-bangalore-6-to-9-yrs-jobid-UMWYkCFqHEdzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,6 - 9 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
SDET- Python Automation,Nutanix,"python programming,data science,machine learning,ai model training,collaboration skills,testing,sdet,metrics",https://www.timesjobs.com/job-detail/sdet-python-automation-nutanix-bengaluru-bangalore-6-to-9-yrs-jobid-jX5BKTYKU__SLASH__BzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,6 - 9 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
Analytics Manager - R / python,Analytics Vidhya,"algorithms,signal processing,python,sas,machine learning,unix",https://www.timesjobs.com/job-detail/analytics-manager-r-python-analytics-vidhya-noida-greater-noida-delhi-delhi-ncr-5-to-8-yrs-jobid-TZZOseaM7qJzpSvf__PLUS__uAgZw==&source=srp,"Noida/Greater Noida  Delhi  Delhi/NCR,5 - 8 Years,Not disclosed",few days ago,Noida/Greater Noida Delhi Delhi/NCR
Automation Engineer ( Python ),SEVEN CONSULTANCY,"git,postgresql,devops,linux,data structures,mysql,object oriented programming,mongodb,rest,python,linux operating system,rdbms,os,maven,nosql",https://www.timesjobs.com/job-detail/automation-engineer-python-seven-consultancy-navi-mumbai-mumbai-2-to-4-yrs-jobid-r8jC0H8RkxpzpSvf__PLUS__uAgZw==&source=srp,"Navi Mumbai  Mumbai,2 - 4 Years,Not disclosed",Posted today,Navi Mumbai Mumbai
Intern Python / SQL,3RI Technologies Pvt Ltd,"strong communication,very strong sql,python programming,powershell scripting,data analysis",https://www.timesjobs.com/job-detail/intern-python-sql-3ri-technologies-pvt-ltd-pune-0-to-3-yrs-jobid-W2yCT5wVLr9zpSvf__PLUS__uAgZw==&source=srp,"Pune,0 - 3 Years,Not disclosed",3 days ago,Pune
PYTHON DEVELOPER  DJANGO / FLASK,Span Idea Systems Pvt Ltd,"security compliance,python,html5,mobile,javascript,django",https://www.timesjobs.com/job-detail/python-developer-django-flask-span-idea-systems-pvt-ltd-0-to-3-yrs-jobid-Um__PLUS__eqkEJ0NhzpSvf__PLUS__uAgZw==&source=srp,",0 - 3 Years,Not disclosed",few days ago,
PYTHON DEVELOPER  DJANGO / FLASK,Span Idea Systems Pvt Ltd,"security compliance,python,html5,mobile,javascript,django",https://www.timesjobs.com/job-detail/python-developer-django-flask-span-idea-systems-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-QuBhLnFuMndzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,0 - 3 Years,Not disclosed",few days ago,Bengaluru / Bangalore
PYTHON DEVELOPER  SERVER SIDE,Span Idea Systems Pvt Ltd,"python,software design,machine learning,django,postgresql,cassandra,distributed databases",https://www.timesjobs.com/job-detail/python-developer-server-side-span-idea-systems-pvt-ltd-0-to-3-yrs-jobid-y7qrLgxLEYVzpSvf__PLUS__uAgZw==&source=srp,",0 - 3 Years,Not disclosed",few days ago,
Python  /  ML Developer,CONNECTING 2 WORK,"python,django,machine learning,nosql",https://www.timesjobs.com/job-detail/python-ml-developer-connecting-2-work-bengaluru-bangalore-4-to-7-yrs-jobid-VuVFTM0__PLUS__XZZzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,4 - 7 Years,Not disclosed",few days ago,Bengaluru / Bangalore
Hiring For Python Lead Developer,krazy mantra hr solutions,"python,django  /  flask,oracle pl  /  sql,unix,ui programming",https://www.timesjobs.com/job-detail/hiring-for-python-lead-developer-krazy-mantra-hr-solutions-chennai-pune-7-to-9-yrs-jobid-sZdo2qTQM5VzpSvf__PLUS__uAgZw==&source=srp,"Chennai  Pune,7 - 9 Years,Not disclosed",few days ago,Chennai Pune
Expired:Sr. Python Developer,seven star websolutions,"bi,security,java,python scripting,html,python,svn,machine learning,javascript,ruby,django,unix",https://www.timesjobs.com/job-detail/expired-sr-python-developer-seven-star-websolutions-delhi-delhi-ncr-2-to-5-yrs-jobid-GNL9pQNTRIdzpSvf__PLUS__uAgZw==&source=srp,"Delhi  Delhi/NCR,2 - 5 Years,Not disclosed",few days ago,Delhi Delhi/NCR
SDET-Python Automation,Nutanix,"python programming,automation frameworks,test plan development,debugging automation tests,cloud storage services,hci,database,san,oracle,windows",https://www.timesjobs.com/job-detail/sdet-python-automation-nutanix-bengaluru-bangalore-3-to-7-yrs-jobid-qfkiCS__SLASH__Ie3tzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,3 - 7 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
SDET-Python Automation,Nutanix,"python programming,automation frameworks,test plan development,debugging automation tests,cloud storage services,hci,database,san,oracle,windows",https://www.timesjobs.com/job-detail/sdet-python-automation-nutanix-bengaluru-bangalore-3-to-7-yrs-jobid-4WQDLbKl78pzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,3 - 7 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
SDET-Python Automation,Nutanix,"python programming,automation frameworks,test plan development,debugging automation tests,cloud storage services,hci,database,san,oracle,windows",https://www.timesjobs.com/job-detail/sdet-python-automation-nutanix-bengaluru-bangalore-3-to-7-yrs-jobid-QATk7gjJ__PLUS__hxzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,3 - 7 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
Senior Python Programmer,IQVIA,"data modeling,etl processing,python programming,data analysis,gcp experience,scalability,clinical data,life sciences,transformation,clinical research",https://www.timesjobs.com/job-detail/senior-python-programmer-iqvia-bengaluru-bangalore-5-to-7-yrs-jobid-AUYOh__SLASH__yDR3VzpSvf__PLUS__uAgZw==&source=srp,"Bengaluru / Bangalore,5 - 7 Years,Not disclosed",Posted 2 days ago,Bengaluru / Bangalore
