ID,Price,Manufacturer,Model,Sales_year,Fuel type,Engine volume,Mileage,Tranmission
45815288,69,ACURA,TL saber,2001,Petrol,2.5,205502,Tiptronic
45808694,3450,ACURA,TLX,2015,Petrol,2.4,83099,Automatic
45754293,2979,ACURA,TSX,2010,Petrol,2.4,203061,Automatic
45754860,4077,ACURA,TSX,2012,Petrol,2.4,117874,Automatic
45792137,706,ACURA,TSX,2010,Petrol,2.4,227576,Automatic
45768684,188,ACURA,TSX,2010,Petrol,2.4,0,Automatic
45754848,282,ACURA,RDX,2015,Petrol,3.5,0,Automatic
45754261,4861,ACURA,MDX,2012,Petrol,3.7,147701,Automatic
45754843,314,ACURA,TL,2010,Petrol,3.5,162453,Automatic
45766207,4861,ACURA,MDX,2011,Petrol,3.7,181970,Automatic
45754842,11760,ACURA,MDX,2012,Petrol,3.7,124978,Automatic
45754857,4391,ACURA,RDX,2014,Petrol,3.5,0,Automatic
45754852,1176,ACURA,TL,2010,Petrol,3.7,280040,Automatic
45555548,39201,ACURA,RDX,2014,Petrol,3.5,81600,Automatic
45763476,10349,ACURA,TLX,2015,Petrol,3.5,70562,Automatic
45791663,3700,ALFA ROMEO,147,2001,Petrol,1.8,240000,Manual
41858253,18817,ALFA ROMEO,Giulietta,2013,Petrol,1.4 Turbo,85000,Tiptronic
44755749,12544,ALFA ROMEO,159,2005,Petrol,2.2,152200,Manual
45786236,4500,ALFA ROMEO,166,2001,Petrol,2,200000,Manual
43432352,54000,ASTON MARTIN,Virage,2007,Petrol,4.3,72000,Tiptronic
45770452,33870,AUDI,A8,2012,Petrol,4.2,200000,Automatic
45767491,9565,AUDI,A7,2014,Petrol,3,191373,Automatic
45784340,15681,AUDI,A6,2007,Petrol,3.2,304000,Tiptronic
45646569,549,AUDI,A7,2016,Petrol,3,97589,Automatic
45767797,3058,AUDI,A7,2014,Petrol,3,140507,Automatic
45647877,4704,AUDI,A7,2014,Petrol,3,401128,Automatic
45772520,706,AUDI,A4,2014,Petrol,2,162032,Automatic
45759315,2666,AUDI,A4,2012,Petrol,2,292331,Automatic
45521264,38260,AUDI,Allroad,2013,Petrol,2.0 Turbo,117000,Tiptronic
45647881,4704,AUDI,A7,2013,Petrol,3,301707,Automatic
45813905,7000,AUDI,A4,2002,Petrol,1.8 Turbo,200000,Tiptronic
45759348,784,AUDI,Q7,2015,Petrol,3,264014,Automatic
45768897,18817,AUDI,A6,2014,Petrol,2,279722,Automatic
45651285,39201,AUDI,Q5,2015,Petrol,3,54683,Tiptronic
45806616,25089,AUDI,100,2016,Petrol,3,70782,Automatic
45808576,392,AUDI,A5,2012,Petrol,2,171946,Automatic
45762941,1254,AUDI,A4,2014,Petrol,2,42395,Automatic
26465408,43000,AUDI,Q7,2011,Diesel,3,190000,Tiptronic
45795360,15681,AUDI,A4,2006,Petrol,2.0 Turbo,256000,Manual
45767481,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45688396,24148,AUDI,Q5,2010,Petrol,2.0 Turbo,18000,Automatic
45646623,314,AUDI,Q5,2011,Petrol,2,287021,Automatic
44372593,42024,AUDI,Allroad,2012,Petrol,2.0 Turbo,87000,Tiptronic
45769573,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45808569,1019,AUDI,Q5,2012,Petrol,3.2,198744,Automatic
42867264,79971,AUDI,A7,2016,Petrol,3.0 Turbo,35500,Tiptronic
45779282,32302,AUDI,Q5,2011,Petrol,2,148000,Tiptronic
